Order_Date,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
1/27/11,12/2/11,4484,651.21,524.96
12/28/15,1/23/16,1075,47.45,31.79
1/13/11,1/2/11,6515,154.06,90.93
11/9/12,6/10/12,7683,668.27,502.54
10/27/15,5/12/15,3491,47.45,31.79
10/7/12,8/21/12,9880,47.45,31.79
2/20/11,3/20/11,4825,154.06,90.93
10/4/17,12/5/17,3330,255.28,159.42
11/21/14,10/1/15,2431,421.89,364.69
4/7/15,7/20/15,6197,651.21,524.96
7/26/16,8/24/16,724,205.7,117.11
10/20/12,11/15/12,9145,255.28,159.42
2/22/15,2/27/15,6618,651.21,524.96
8/27/16,2/9/16,5338,668.27,502.54
6/21/11,7/21/11,9527,109.28,35.84
9/19/13,4/10/13,441,152.58,97.44
11/15/15,11/30/15,1365,47.45,31.79
6/4/15,4/27/15,2617,47.45,31.79
12/4/10,5/19/10,6545,81.73,56.67
9/26/11,2/10/11,2530,152.58,97.44
5/14/16,6/18/16,1983,437.2,263.33
8/14/10,8/31/10,3345,651.21,524.96
4/13/12,4/22/12,7091,152.58,97.44
9/19/13,9/28/13,725,437.2,263.33
2/12/15,12/26/15,3784,421.89,364.69
2/26/17,2/28/17,2835,154.06,90.93
9/10/16,10/13/16,6477,109.28,35.84
5/20/11,6/19/11,339,255.28,159.42
10/24/13,3/12/13,2083,255.28,159.42
6/14/11,7/20/11,6401,47.45,31.79
6/20/15,7/21/15,16,651.21,524.96
5/8/11,1/9/11,6684,81.73,56.67
11/30/16,9/1/17,2191,255.28,159.42
5/7/15,7/29/15,9353,154.06,90.93
3/25/15,9/5/15,3020,9.33,6.92
8/22/13,8/30/13,5072,437.2,263.33
11/12/16,1/13/17,9420,81.73,56.67
6/23/13,7/18/13,7005,47.45,31.79
8/5/15,5/13/15,803,9.33,6.92
10/24/16,11/24/16,816,255.28,159.42
10/3/13,4/4/13,9083,205.7,117.11
3/18/12,4/5/12,4670,109.28,35.84
11/2/15,2/3/15,8675,109.28,35.84
10/30/12,3/11/12,9229,437.2,263.33
6/7/12,1/8/12,6493,668.27,502.54
4/1/11,2/21/11,7659,205.7,117.11
10/25/13,10/12/13,1950,255.28,159.42
2/16/16,3/22/16,5623,255.28,159.42
3/16/14,4/27/14,6962,81.73,56.67
9/24/16,10/29/16,1285,9.33,6.92
9/30/10,11/11/10,5941,437.2,263.33
5/11/10,5/12/10,5310,109.28,35.84
7/21/17,8/22/17,5802,205.7,117.11
10/7/13,7/26/13,861,154.06,90.93
6/10/12,10/21/12,5959,651.21,524.96
4/6/11,7/24/11,3603,421.89,364.69
12/4/14,4/15/14,8327,9.33,6.92
10/26/15,12/15/15,1699,81.73,56.67
4/8/11,8/27/11,7318,205.7,117.11
2/24/17,4/14/17,5814,81.73,56.67
3/30/11,12/4/11,9848,651.21,524.96
2/5/15,6/14/15,9112,9.33,6.92
1/2/14,2/26/14,5330,154.06,90.93
3/3/12,10/4/12,7257,437.2,263.33
4/22/15,5/13/15,5678,152.58,97.44
12/5/11,5/15/11,8412,81.73,56.67
12/21/11,1/18/12,5307,651.21,524.96
2/12/10,12/25/10,3243,421.89,364.69
8/14/10,9/16/10,1130,81.73,56.67
5/10/10,11/14/10,4912,668.27,502.54
8/2/12,3/18/12,2562,421.89,364.69
8/9/12,9/20/12,9084,109.28,35.84
11/8/11,8/19/11,1516,255.28,159.42
10/28/12,7/11/12,3924,47.45,31.79
11/10/13,10/27/13,2407,109.28,35.84
6/10/16,10/20/16,95,437.2,263.33
7/28/17,7/31/17,2148,9.33,6.92
4/11/16,11/25/16,761,154.06,90.93
12/4/16,1/5/16,155,81.73,56.67
11/13/14,12/20/14,1586,255.28,159.42
8/26/12,9/22/12,8340,81.73,56.67
7/15/14,8/15/14,735,154.06,90.93
2/5/11,4/5/11,1118,255.28,159.42
11/11/13,12/17/13,8871,651.21,524.96
4/14/11,5/20/11,5403,437.2,263.33
4/10/12,11/21/12,9158,255.28,159.42
5/14/13,10/6/13,609,154.06,90.93
12/1/13,2/2/13,7261,668.27,502.54
3/10/12,12/11/12,8650,154.06,90.93
10/23/10,11/20/10,1344,668.27,502.54
6/2/14,3/28/14,3941,109.28,35.84
4/9/11,4/9/11,2070,255.28,159.42
12/5/16,6/26/16,3394,437.2,263.33
7/19/15,8/20/15,2605,651.21,524.96
10/28/12,11/24/12,6425,81.73,56.67
8/25/16,9/25/16,8611,421.89,364.69
10/25/13,3/11/13,4947,47.45,31.79
11/2/11,2/26/11,8252,81.73,56.67
5/27/16,6/13/16,3375,47.45,31.79
6/2/12,2/26/12,2194,81.73,56.67
12/25/11,4/2/12,8622,152.58,97.44
12/13/11,1/20/12,3600,154.06,90.93
7/20/16,8/19/16,102,255.28,159.42
6/18/12,7/14/12,8134,154.06,90.93
2/23/10,12/4/10,9730,437.2,263.33
5/5/17,9/5/17,3960,152.58,97.44
7/23/12,8/13/12,1920,205.7,117.11
11/1/17,1/17/17,1742,47.45,31.79
7/3/15,4/14/15,3585,205.7,117.11
9/6/11,5/7/11,4644,651.21,524.96
4/17/11,5/6/11,4141,651.21,524.96
7/7/17,7/27/17,8330,109.28,35.84
3/22/11,9/4/11,5500,152.58,97.44
3/29/16,6/4/16,965,9.33,6.92
1/14/12,4/2/12,2077,205.7,117.11
3/17/13,10/4/13,3213,47.45,31.79
9/15/12,2/11/12,785,81.73,56.67
11/26/15,6/12/15,8237,421.89,364.69
1/2/14,3/20/14,1040,421.89,364.69
12/23/10,1/18/11,1701,81.73,56.67
10/5/11,12/6/11,4755,668.27,502.54
12/4/17,5/22/17,1770,421.89,364.69
9/23/16,10/25/16,6344,109.28,35.84
8/2/10,3/14/10,9108,437.2,263.33
10/1/14,11/2/14,2722,437.2,263.33
3/2/12,6/2/12,6878,154.06,90.93
6/9/11,11/10/11,3301,205.7,117.11
6/18/17,6/23/17,746,668.27,502.54
10/6/12,6/13/12,9997,154.06,90.93
10/10/14,10/19/14,8874,154.06,90.93
5/19/13,2/6/13,7224,668.27,502.54
9/3/17,4/27/17,1927,651.21,524.96
6/18/13,6/23/13,1895,651.21,524.96
1/16/17,1/2/17,3069,668.27,502.54
7/18/13,8/15/13,3424,152.58,97.44
2/23/16,3/15/16,7964,668.27,502.54
5/17/16,1/7/16,3726,668.27,502.54
8/14/10,9/15/10,4776,81.73,56.67
6/18/11,7/20/11,7214,668.27,502.54
8/17/13,9/17/13,4170,421.89,364.69
11/26/12,12/25/12,804,9.33,6.92
4/7/17,7/17/17,9308,9.33,6.92
12/29/13,3/2/14,3908,421.89,364.69
6/29/16,4/8/16,5856,154.06,90.93
6/24/17,10/7/17,8440,651.21,524.96
4/13/14,2/5/14,1978,47.45,31.79
10/11/12,12/27/12,8816,81.73,56.67
6/17/16,7/31/16,8336,437.2,263.33
3/31/14,4/15/14,1949,154.06,90.93
5/17/15,5/22/15,8097,152.58,97.44
4/12/14,12/27/14,7253,255.28,159.42
10/28/12,9/11/12,6922,154.06,90.93
1/26/10,2/28/10,6641,154.06,90.93
4/7/12,6/8/12,2978,437.2,263.33
11/26/11,12/17/11,4529,255.28,159.42
10/6/12,7/29/12,6927,205.7,117.11
10/24/11,11/20/11,7831,651.21,524.96
7/16/12,7/22/12,1934,205.7,117.11
8/28/10,8/28/10,5959,152.58,97.44
10/8/14,8/22/14,3662,81.73,56.67
10/3/11,3/16/11,829,205.7,117.11
6/10/14,11/11/14,277,47.45,31.79
6/23/10,11/7/10,6854,109.28,35.84
1/13/11,1/22/11,2441,205.7,117.11
1/23/15,2/19/15,949,154.06,90.93
11/24/10,12/22/10,3319,47.45,31.79
8/27/10,9/28/10,2527,47.45,31.79
2/28/16,4/17/16,8576,152.58,97.44
2/25/15,4/15/15,3503,421.89,364.69
5/17/15,6/27/15,6374,437.2,263.33
6/24/10,6/24/10,8290,81.73,56.67
2/16/14,3/26/14,7379,47.45,31.79
9/30/10,10/27/10,3803,109.28,35.84
3/5/12,5/6/12,4754,47.45,31.79
10/24/16,11/23/16,9456,255.28,159.42
10/21/11,11/24/11,4163,668.27,502.54
4/13/16,5/5/16,7163,9.33,6.92
3/23/16,2/4/16,3771,651.21,524.96
10/20/13,11/18/13,1337,9.33,6.92
1/18/16,4/3/16,4241,9.33,6.92
11/27/15,7/1/16,8894,651.21,524.96
7/3/11,9/4/11,8738,47.45,31.79
11/18/15,11/24/15,9246,109.28,35.84
2/1/11,2/2/11,2925,47.45,31.79
6/23/16,2/8/16,4309,9.33,6.92
8/23/11,8/30/11,4966,81.73,56.67
7/10/14,10/25/14,8496,81.73,56.67
10/2/11,3/29/11,5527,47.45,31.79
4/14/17,5/13/17,8721,205.7,117.11
11/23/16,4/1/17,7770,668.27,502.54
4/27/17,5/20/17,4398,47.45,31.79
8/28/15,8/29/15,7360,154.06,90.93
1/19/10,3/2/10,7442,205.7,117.11
2/2/11,3/18/11,2461,154.06,90.93
7/4/15,7/5/15,2266,437.2,263.33
10/5/16,12/5/16,3736,81.73,56.67
12/10/16,10/17/16,5784,421.89,364.69
3/24/16,4/14/16,4351,47.45,31.79
6/16/15,7/31/15,7411,154.06,90.93
3/7/12,11/7/12,9969,109.28,35.84
1/17/14,1/26/14,9061,81.73,56.67
6/16/16,7/18/16,8754,421.89,364.69
10/3/17,5/4/17,5147,152.58,97.44
12/17/10,12/1/11,1370,205.7,117.11
4/13/16,5/16/16,2584,421.89,364.69
1/26/11,1/3/11,981,154.06,90.93
6/3/12,6/4/12,785,109.28,35.84
7/1/11,1/20/11,3252,152.58,97.44
3/17/15,4/21/15,1666,651.21,524.96
2/7/14,6/8/14,6346,109.28,35.84
11/11/14,11/30/14,9639,154.06,90.93
12/18/11,1/17/12,927,205.7,117.11
10/2/10,5/3/10,1620,668.27,502.54
11/22/10,4/1/11,160,152.58,97.44
12/15/16,1/31/17,7021,152.58,97.44
1/2/13,4/3/13,9708,9.33,6.92
6/6/15,10/6/15,7758,421.89,364.69
5/9/14,9/19/14,7736,152.58,97.44
5/3/10,3/27/10,8243,651.21,524.96
6/9/13,2/10/13,4908,421.89,364.69
4/22/15,5/30/15,5392,255.28,159.42
3/1/10,12/1/10,4387,255.28,159.42
7/13/16,7/16/16,8618,154.06,90.93
1/13/13,4/2/13,1839,47.45,31.79
9/8/16,9/9/16,9836,651.21,524.96
4/26/11,5/30/11,5426,421.89,364.69
6/8/12,9/23/12,3458,152.58,97.44
10/6/10,7/7/10,5813,152.58,97.44
1/16/11,2/27/11,6401,255.28,159.42
4/26/10,12/6/10,6164,668.27,502.54
10/20/12,2/11/12,8076,205.7,117.11
2/10/12,11/21/12,2143,421.89,364.69
1/21/13,2/17/13,400,47.45,31.79
11/16/13,11/21/13,1914,81.73,56.67
11/6/16,6/19/16,7785,154.06,90.93
9/13/11,10/30/11,6142,205.7,117.11
12/5/14,6/26/14,7146,421.89,364.69
9/16/13,3/10/13,7989,81.73,56.67
